Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2024-05-10,7095.7724609375,6976.902111053467,7018.792236328125,7117.614770765722,118.8703498840332,76.980224609375
2024-05-13,7099.26123046875,6975.925193786621,7016.96280670166,7115.817395013364,123.3360366821289,82.29842376708984
2024-05-14,7083.76318359375,6974.965435028076,7015.1240158081055,7115.182164582991,108.79774856567383,68.63916778564453
2024-05-15,7179.8310546875,6974.011524200439,7013.206443786621,7111.844721607034,205.81953048706055,166.6246109008789
2024-05-16,7246.69580078125,6973.502590179443,7012.403457641602,7102.921696983816,273.19321060180664,234.29234313964844
2024-05-17,7317.23779296875,6974.24142074585,7013.7387771606445,7104.500076690558,342.9963722229004,303.49901580810547
2024-05-20,7266.69091796875,6976.433933258057,7017.734786987305,7124.567776965632,290.25698471069336,248.9561309814453
2024-05-21,7186.037109375,6979.5629959106445,7023.175308227539,7155.940497729418,206.47411346435547,162.86180114746094
2024-05-22,7222.3818359375,6982.338733673096,7028.102798461914,7184.171121881911,240.0431022644043,194.27903747558594
2024-05-23,7207.061197916667,6984.475280761719,7032.40690612793,7196.156307194804,222.58591715494822,174.65429178873728
2024-05-24,7191.740559895833,6986.279365539551,7036.041786193848,7202.370497361771,205.46119435628225,155.69877370198537
2024-05-27,7176.419921875,6987.565933227539,7038.765068054199,7198.603812676534,188.85398864746094,137.65485382080078
2024-05-28,7253.6259765625,6988.29150390625,7040.4580001831055,7187.894054657387,265.33447265625,213.16797637939453
2024-05-29,7140.22900390625,6988.94921875,7042.230110168457,7177.946998848944,151.27978515625,97.99889373779297
2024-05-30,7034.14208984375,6989.398288726807,7043.012420654297,7174.786218989699,44.74380111694336,-8.870330810546875
2024-05-31,6970.73583984375,6988.390754699707,7041.184158325195,7162.534974766095,-17.65491485595703,-70.44831848144531
2024-06-03,7036.19091796875,6985.638809204102,7036.279090881348,7133.469516875994,50.55210876464844,-0.08817291259765625
2024-06-04,7099.31201171875,6981.9735107421875,7029.927551269531,7095.397077995294,117.3385009765625,69.38446044921875
2024-06-05,6947.669921875,6978.695274353027,7024.0141677856445,7063.478995588754,-31.025352478027344,-76.34424591064453
2024-06-06,6974.89697265625,6975.410411834717,7017.249252319336,7045.1303906220855,-0.5134391784667969,-42.35227966308594
2024-06-07,6897.9501953125,6971.495323181152,7009.781967163086,7020.550804214974,-73.54512786865234,-111.83177185058594
2024-06-10,6921.5478515625,6967.311538696289,7001.4099044799805,6998.359362590403,-45.76368713378906,-79.86205291748047
2024-06-11,6855.69091796875,6962.820831298828,6992.698165893555,6973.967081656432,-107.12991333007812,-137.0072479248047
2024-06-12,6850.09716796875,6958.288005828857,6983.526050567627,6952.099404164095,-108.19083786010742,-133.42888259887695
2024-06-13,6831.56396484375,6953.545366287231,6974.078990936279,6926.716438095042,-121.98140144348145,-142.5150260925293
2024-06-14,6734.83203125,6948.879945755005,6964.656890869141,6904.4758051340905,-214.04791450500488,-229.82485961914062
2024-06-17,6732.1943359375,6943.991062164307,6954.505907058716,6886.054832143709,-211.79672622680664,-222.31157112121582
2024-06-18,6729.556640625,6938.66305065155,6943.812446594238,6860.659331743751,-209.1064100265503,-214.25580596923828
2024-06-19,6726.9189453125,6933.422008037567,6933.214924812317,6825.949640997627,-206.50306272506714,-206.2959794998169
2024-06-20,6819.32080078125,6928.51206445694,6923.162799835205,6793.819893946566,-109.1912636756897,-103.84199905395508
2024-06-21,6879.97802734375,6924.462433576584,6914.991974830627,6770.779901769434,-44.48440623283386,-35.01394748687744
2024-06-24,6889.1650390625,6922.0113615989685,6909.6684494018555,6761.8053208417405,-32.846322536468506,-20.50341033935547
2024-06-25,6882.7041015625,6921.047312259674,6906.982215881348,6760.421341512425,-38.34321069717407,-24.278114318847656
2024-06-26,6905.64208984375,6921.062716960907,6906.19931602478,6769.068610855742,-15.420627117156982,-0.5572261810302734
